id	status	idea	dimension	expected_metric	evidence_hypothesis
I-0015	done	Create the Chapter 5 GPT lineage visual table with model/year, mechanism, interface shift, source IDs, and caveats.	visuals	technical clarity + visual coverage	Done in data/gpt_lineage_visual_table.tsv and assets/visual_system/gpt-lineage-table.svg, with A-0010 provenance and manuscript integration in Chapter 5.
I-0016	done	Capture the OpenAI API pricing page with a browser screenshot or alternate official docs snapshot after shell HTML capture returned HTTP 403.	assets	chart provenance + claim coverage	Done with alternate official developer-docs snapshot SNAP-20260525-001; browser screenshot tooling was unavailable, original pricing page still returned HTTP 403, and exact price rows remain normalization/cutoff-status gated.
I-0017	done	Create final captions and claim-caveat notes for the six rendered GTC 2026 slides, distinguishing announced, roadmap, performance, and partner claims.	assets	visual provenance + NVIDIA chapter quality	Done in data/gtc_2026_slide_captions.tsv, assets_manifest.tsv, and manuscript/15-gtc-2026-source-pack.md; captions use exact local PDF page text while preserving roadmap, availability, performance, partner, and reference-design caveats.
I-0018	done	Draft the Alignment Enters the Product chapter, connecting InstructGPT, RLHF, Constitutional AI, refusals, and assistant behavior without turning it into a regulation chapter.	narrative	technical depth + chapter coverage	Done in manuscript/06-alignment-enters-product.md with source rows S-0073 through S-0077 and claim rows C-0042 through C-0044; chapter explains why raw completion became assistant behavior while keeping exact policy/system-card wording snapshot-gated.
I-0019	done	Resolve the highest-risk claim queue items by snapshotting or triangulating C-0017, C-0018, C-0021, C-0031, and C-0033 before final leaderboard, pricing, or GTC charts.	claim_audit	unsupported claims down + chart readiness	Done in data/high_risk_claim_audit_i0019.tsv; stale capture/exact-wording blockers C-0017, C-0018, and C-0033 are now supported, while sharper blockers C-0045 through C-0047 preserve rank-row normalization, price-row normalization, and GTC triangulation risks.
I-0020	done	Tighten Chapter 7 source density by adding two high-value reception or product-evolution sources and converting the slightly sparse ChatGPT chapter into the 150-250 words-per-source band.	sourcing	source density + claim support	Done in manuscript/07-chatgpt-interface-event.md with S-0078 ChatGPT Plus and S-0079 ChatGPT Enterprise; Chapter 7 now uses 11 unique sources and is inside the target source-density band without promoting exact adoption figures.
I-0021	done	Normalize OpenAI pricing rows from the official docs snapshot only after filtering out post-cutoff model rows and recording cutoff-status caveats for any price comparison.	data	price chart readiness + cutoff safety	Done in data/openai_pricing_rows_i0021.tsv and data/openai_pricing_i0021_notes.md; OpenAI rows are normalized with post-cutoff capture caveats, post-cutoff model-name exclusions, and C-0046 still blocks final price-quality charts.
I-0022	done	Draft the NVIDIA GTC 2026 chapter opening around AI factories using the captioned slide pack, while keeping roadmap and performance claims attributed.	narrative	NVIDIA chapter quality + visual integration	Done in manuscript/15-gtc-2026-ai-factory-sells-itself.md and champion/15-gtc-2026-ai-factory-sells-itself.md; the opening uses A-0004/A-0007/A-0008/A-0009 as attributed NVIDIA argument surfaces and leaves C-0021/C-0047 blockers intact.
I-0023	done	Create an RLHF/alignment pipeline visual for Chapter 6 with demonstrations, preference comparisons, reward model, RL optimization, constitutional/RLAIF branch, system-policy layer, red-team/eval loop, and caveats.	visuals	technical clarity + visual coverage	Done in data/rlhf_alignment_pipeline_i0023.tsv, assets/visual_system/rlhf-alignment-pipeline.svg, assets_manifest.tsv row A-0011, and champion/06-rlhf-alignment-pipeline.md; figure shows assistant behavior as a layered product stack, not solved alignment.
I-0024	done	Normalize LMArena leaderboard rows from SNAP-20260524-001 into chart-ready model/rank/category rows with policy caveats.	data	leaderboard chart readiness + claim support	Done as a conservative normalization/audit pass in data/lmarena_leaderboard_rows_i0024.tsv and data/lmarena_leaderboard_i0024_notes.md; the captured HTML includes post-cutoff-looking model names, so exact cutoff rank charts remain blocked under C-0045.
I-0025	done	Snapshot ChatGPT Plus and ChatGPT Enterprise source pages before extracting exact pricing, availability, adoption, or customer productivity claims.	assets	ChatGPT source integrity + claim support	Done as blocked-capture documentation in SNAP-20260525-002 and SNAP-20260525-003 plus data/source_snapshots/2026-05-25/chatgpt_product_pages_i0025_notes.md; shell HTML capture returned HTTP 403, browser/web reader verified structural page content, and exact quotes/quantitative claims remain gated.
I-0026	done	Normalize Claude, Gemini, xAI, and Mistral provider pricing rows into the same schema as the OpenAI pricing table, preserving tier, currency, unit, capture date, and chart-readiness caveats.	data	price chart readiness + cross-provider comparability	Done in data/provider_pricing_rows_i0026.tsv and data/provider_pricing_i0026_notes.md; Claude, Gemini, and xAI candidate rows are normalized while Mistral remains pricing-source missing and C-0046 stays active.
I-0027	done	Add a Chapter 15 AI-factory block diagram that separates NVIDIA's keynote framing from independently supported infrastructure layers: model serving, accelerators, networking, storage, power, cooling, orchestration, and token billing.	visuals	technical clarity + GTC visual integration	Done in assets/visual_system/ai-factory-stack.svg and data/ai_factory_stack_i0027.tsv; Chapter 15 now has an explanatory stack diagram that preserves NVIDIA attribution and C-0021/C-0047 caveats.
I-0028	done	Snapshot OpenAI instruction-following, Model Spec, GPT-4 system card, and GPT-4o system card pages before using exact alignment-policy wording or direct quotes in Chapter 6.	assets	alignment source integrity + claim support	Done in SNAP-20260525-004 through SNAP-20260525-007 and data/source_snapshots/2026-05-25/alignment_source_snapshots_i0028_notes.md; Model Spec, GPT-4 System Card, and GPT-4o System Card were captured, while the instruction-following product post remains HTTP 403 blocked and C-0044 stays active.
I-0029	done	Find or create a clean cutoff-bounded LMArena text leaderboard archive/screenshot with category filters and top rows that excludes post-cutoff model-name contamination before final rank charts.	assets	leaderboard chart readiness + cutoff safety	Done in SNAP-20260525-008, data/lmarena_clean_cutoff_rows_i0029.tsv, and data/lmarena_clean_cutoff_i0029_notes.md; official historical dataset rows provide a clean May 19 text_style_control overall table while preserving non-live-May-24 caveats.
I-0030	rejected	Capture local HTML or screenshots for OpenAI ChatGPT product-history pages using an alternate browser workflow, prioritizing ChatGPT Plus and ChatGPT Enterprise so Chapter 7 can safely use exact quotes and quantitative claims.	assets	ChatGPT source integrity + quote readiness	Rejected in data/source_snapshots/2026-05-25/chatgpt_product_pages_i0030_browser_attempt.md: shell capture was already HTTP 403 from I-0025, and the alternate in-app browser backend returned unavailable, so no local HTML or screenshot could be produced in this pass.
I-0031	done	Pair Mistral model docs with an official pricing or API billing source and normalize Mistral pricing rows before any price-quality chart use.	data	price chart readiness + provider completeness	Done in SNAP-20260525-011, SNAP-20260525-012, data/mistral_pricing_rows_i0031.tsv, and data/mistral_pricing_i0031_notes.md; Mistral pricing is now paired and normalized, while C-0046 stays active for cutoff-status and same-scope price-rank joins.
I-0032	done	Create a Chapter 16 datacenter power and cooling evidence pack that pairs AI-factory rhetoric with grid, power-procurement, cooling, and facility-source rows before drafting physical-infrastructure prose.	sourcing	source density + infrastructure truth	Done in manuscript/16-datacenters-power-cooling-source-pack.md and data/datacenter_power_cooling_sources_i0032.tsv; added IEA, LBNL/DOE, EPRI, DOE-SEAB, and Uptime rows while preserving scenario, procurement, flexibility, and NVIDIA-triangulation caveats.
I-0033	done	Extract a quote-safe Chapter 6 alignment source table from captured OpenAI Model Spec, GPT-4 System Card, and GPT-4o System Card artifacts, while keeping the blocked instruction-following post paraphrase-only.	data	alignment quote readiness + claim support	Done in data/alignment_quote_safe_table_i0033.tsv and manuscript/06-alignment-quote-safe-table.md; captured Model Spec/system-card artifacts now have short quote candidates, while S-0074 remains paraphrase-only and C-0044 stays open.
I-0034	done	Build a sourced model-rankings chart package from the clean LMArena May 19 historical dataset rows, with chart captions that state config, category, publish date, and caveats.	visuals	leaderboard visual readiness + visual coverage	Done in assets/visual_system/lmarena-may19-text-style-control-top12.svg, data/lmarena_may19_chart_i0034.tsv, and manuscript/13-lmarena-chart-package.md; figure labels config, split, category, publish date, source ID, snapshot ID, and non-live-rank caveats.
I-0035	done	Find an auditable non-browser archive or official alternate capture path for ChatGPT Plus and ChatGPT Enterprise pages before using exact quotes, pricing wording, adoption percentages, or customer productivity claims.	sourcing	ChatGPT quote readiness + source resilience	Done in SNAP-20260525-013 through SNAP-20260525-015 and data/chatgpt_product_alternate_captures_i0035.tsv; Plus launch/pricing/benefits and Enterprise release-note feature wording are quote-ready with text-render/official-alternate caveats, while adoption, customer productivity, and original Enterprise product-post quotation claims remain blocked.
I-0036	done	Join the clean LMArena May 19 rank rows with normalized provider pricing rows into a same-scope price-quality audit table, excluding post-cutoff, batch-only, code-only, reasoning-only, and missing-price rows.	data	price-quality chart readiness + claim support	Done in data/price_quality_join_audit_i0036.tsv and data/price_quality_join_i0036_notes.md; six limited candidate rows are separated from fine-tuning, missing-price, reasoning, deprecated, model-version mismatch, and post-cutoff-price-capture exclusions, so C-0046 is narrowed but still blocks final frontier charts.
I-0037	done	Draft the Chapter 16 opening around "speed to power," using the new datacenter power/cooling evidence pack while keeping scenarios, procurement claims, and NVIDIA AI-factory rhetoric explicitly attributed.	prose	source-backed chapter momentum + infrastructure narrative	Done in manuscript/16-speed-to-power.md and promoted via champion/16-speed-to-power.md; the opening uses S-0001 and S-0083 through S-0088 to frame timing mismatch, local grid constraint, facility scale, interconnection, physical supply, and cooling without treating scenarios or NVIDIA rhetoric as independent fact.
I-0038	done	Find a browser-independent archive or official alternate for OpenAI's instruction-following product post so S-0074 can move from paraphrase-only to quote-ready evidence.	sourcing	alignment quote completeness + blocked-source resilience	Done in SNAP-20260525-016 and data/source_snapshots/2026-05-25/instruction_following_i0038_notes.md; S-0074 now has a text-render capture of the canonical official OpenAI page and data/alignment_quote_safe_table_i0033.tsv permits short quote use with renderer caveat while C-0044 remains active for final red-team/system-card/model-policy quote extraction.
I-0039	done	Design a leaderboard-methodology explainer figure that shows how Arena votes, confidence intervals, category filters, and publication dates turn into rank rows before readers see any model as "best."	visuals	ranking literacy + caveat clarity	Done in assets/visual_system/leaderboard-methodology-flow.svg, data/leaderboard_methodology_i0039.tsv, and manuscript/13-leaderboard-methodology-figure.md; the figure explains votes, config/category filters, rating uncertainty, publication date, snapshot ID, and chart permission gates before rank charts.
I-0040	done	Create a Chapter 7 quote-safe productization table from the new ChatGPT Plus and Enterprise alternate captures, separating launch date, plan price, feature wording, availability, adoption, and customer-productivity columns.	data	ChatGPT quote readiness + claim hygiene	Done in data/chatgpt_productization_quote_table_i0040.tsv; Plus launch/price/benefits and Enterprise release-note feature wording are separated from blocked adoption, public-reception, customer-productivity, named-customer, and original Enterprise product-post quotation claims.
I-0041	done	Audit Chapter 7 prose against the I-0035 quote-readiness table and replace any vague blocked-source caveats with source-specific wording.	claim_audit	source density + prose truth	Done in manuscript/07-chatgpt-interface-event.md and champion/07-chatgpt-interface-event.md; Chapter 7 now names S-0078/SNAP-20260525-013 for Plus launch/price/benefit wording, S-0089/SNAP-20260525-014 for Enterprise release-note launch/features, S-0090 for mutable Plus cross-checks only, and S-0079 as blocked for original Enterprise quotations/adoption/productivity claims.
I-0042	done	Create a Chapter 16 power-to-token flow diagram that traces electricity, interconnection, facility cooling, accelerators, inference scheduling, and token output with source IDs and caveat bands.	visuals	infrastructure clarity + visual coverage	Done in assets/visual_system/power-to-token-flow.svg, data/power_to_token_flow_i0042.tsv, and manuscript/16-power-to-token-flow.md; the figure traces electricity, interconnection, facility/cooling, accelerators, scheduling, and token output while preserving scenario, advisory, engineering-gap, and C-0021/C-0047 caveats.
I-0043	done	Audit Chapter 16 for exact quantitative claims and scenario language, turning every TWh, MW, percentage, lead-time, and PUE statement into a row-level claim table.	claim_audit	infrastructure truth + claim coverage	Done in data/chapter16_quant_claim_audit_i0043.tsv, manuscript/16-quantitative-claim-audit.md, and champion/16-quantitative-claim-audit.md; every current Chapter 16 TWh, MW, percentage, lead-time, PUE, rack-density, NVIDIA/GTC, and energy-per-token claim lane now has row-level permission or exclusion.
I-0044	done	Create a Chapter 13 caption-and-use note that pairs the leaderboard methodology figure with the historical top-row chart and states their order, caveats, and prohibited uses.	claim_audit	ranking literacy + layout readiness	Done in manuscript/13-leaderboard-caption-use-note.md and champion/13-leaderboard-caption-use-note.md; A-0014 must appear before A-0013 and the pair forbids live-rank, release-status, price-quality, task-superiority, and generic "best model" claims.
I-0045	done	Build a source table for leaderboard methodology terms: vote, prompt sample, rating, confidence interval, category filter, snapshot, publication date, and release-status caveat.	data	technical clarity + reader trust	Done in data/leaderboard_methodology_terms_i0045.tsv, manuscript/13-leaderboard-methodology-terms.md, and champion/13-leaderboard-methodology-terms.md; definitions make vote, prompt sample, rating, confidence interval, category filter, snapshot, publication date, and release-status caveat reusable while preserving C-0046 and non-live-rank caveats.
I-0046	done	Create a Chapter 7 interface-to-business timeline visual that places ChatGPT launch, Plus, plugins, Enterprise release-note entry, GPTs, and GPT-4o on one source-labeled line with blocked adoption/productivity lanes.	visuals	ChatGPT narrative clarity + visual coverage	Done in assets/visual_system/chatgpt-interface-business-timeline.svg, data/chatgpt_interface_business_timeline_i0046.tsv, manuscript/07-chatgpt-interface-business-timeline.md, and champion/07-chatgpt-interface-business-timeline.md; the visual makes the interface-to-platform sequence legible while keeping C-0010 adoption/productivity blockers visible.
I-0047	rejected	Create a Chapter 16 quantitative-claim audit table for the new power-to-token visual and speed-to-power opening, separating measured values, scenarios, advisory estimates, source caveats, and prose permission.	claim_audit	infrastructure truth + chart readiness	Rejected as superseded by promoted pass I-0043; data/chapter16_quant_claim_audit_i0043.tsv already covers manuscript/16-speed-to-power.md and data/power_to_token_flow_i0042.tsv with CH16Q-001 through CH16Q-018 for measured estimates, forecast/scenario ranges, advisory estimates, operator signals, source caveats, prose permission, NVIDIA/GTC blocked claims, and energy-per-token exclusion. Evidence recorded in data/chapter16_quant_audit_i0047_superseded_assessment.tsv.
I-0048	done	Merge the Chapter 16 quantitative audit into the speed-to-power prose as margin-note-style source cues, replacing any residual generic caveat wording with row-specific permissions from CH16Q-001 through CH16Q-018.	claim_audit	infrastructure prose truth + source readability	Done in manuscript/16-speed-to-power.md and champion/16-speed-to-power.md; compact CH16Q cues now sit beside TWh, MW, percentage, lead-time, PUE, rack-density, NVIDIA/GTC company-claim, and energy-per-token exclusion language.
I-0049	done	Create a Chapter 13 methodology glossary table that converts the I-0044 caption-use note into reusable definitions for vote, config, split, category, rating, confidence interval, publication date, snapshot, and permission gate.	data	ranking literacy + prose reuse	Done in data/leaderboard_methodology_glossary_i0049.tsv with updates to manuscript/13-leaderboard-methodology-terms.md and champion/13-leaderboard-methodology-terms.md; the supplement adds explicit config, split, category, and permission-gate rows while reusing I-0045 definitions where already covered.
I-0050	done	Create a Chapter 13 rank-row footnote microstyle guide that standardizes wording for historical slice, confidence overlap, non-live rank labels, and release-status caveats before final layout.	claim_audit	ranking literacy + layout readiness	Done in data/leaderboard_rank_row_microstyle_i0050.tsv, manuscript/13-rank-row-footnote-microstyle.md, and champion/13-rank-row-footnote-microstyle.md; approved wording now covers historical slice, config/split/category, confidence overlap, non-live rank labels, release-status caveats, price-quality blocks, task-superiority blocks, and required methodology-before-rank order.
I-0051	done	Add a Chapter 7 source-gap table for ChatGPT adoption, public reception, named-customer, and productivity claims, separating primary-source candidates, secondary triangulation needs, exact-quote blockers, and prohibited prose until C-0010 is resolved.	claim_audit	ChatGPT claim hygiene + source targeting	Done in data/chatgpt_adoption_reception_gap_i0051.tsv, manuscript/07-chatgpt-adoption-reception-gap.md, and champion/07-chatgpt-adoption-reception-gap.md; C-0010 is now decomposed into ten row-level blocker families with primary-source candidates, triangulation needs, exact-quote blockers, prohibited prose, allowed current prose, and next actions.
I-0052	rejected	Create a Chapter 16 source-cue insertion plan that maps CH16Q-001 through CH16Q-018 to exact sentences in manuscript/16-speed-to-power.md before any prose merge, preventing duplicate caveats and preserving narrative flow.	claim_audit	infrastructure prose readability + truth	Rejected as superseded by promoted pass I-0048: manuscript/16-speed-to-power.md already contains compact CH16Q cues beside the relevant sentences for CH16Q-001 through CH16Q-018, and data/chapter16_source_cue_plan_i0052_superseded_assessment.tsv records the coverage evidence. The next useful move remains I-0053's readability audit.
I-0053	done	Audit Chapter 16 after the CH16Q source-cue merge for readability, removing any cue clutter while preserving row-level permission for every exact quantitative claim.	prose	infrastructure prose beauty + truth	Done in manuscript/16-speed-to-power.md, data/chapter16_source_cue_readability_i0053.tsv, manuscript/16-source-cue-readability-audit.md, and champion/16-source-cue-readability-audit.md; adjacent source-only brackets were compacted while all CH16Q-001 through CH16Q-018 row IDs remain inline and auditable.
I-0054	done	Create a Chapter 13 final caption microcopy table for A-0013 and A-0014 that uses the I-0045/I-0049 glossary terms without repeating full caveats in every caption.	claim_audit	ranking literacy + layout polish	Done in data/leaderboard_final_caption_microcopy_i0054.tsv, manuscript/13-final-caption-microcopy.md, and champion/13-final-caption-microcopy.md; captions now separate full caption, short caption, shared footnote, paired sequence, prose transition, and prohibited caption language while preserving C-0046.
I-0055	done	Create a Chapter 13 appendix placement note that decides where the methodology figure, rank chart, glossary, and microstyle footnote belong in the final reading order.	claim_audit	ranking layout coherence + reader trust	Done in data/leaderboard_appendix_placement_i0055.tsv, manuscript/13-appendix-placement-note.md, and champion/13-appendix-placement-note.md; the reader sequence is orientation, condensed glossary, A-0014, transition, A-0013, shared footnote, prohibited-use note, and price-quality handoff.
I-0056	done	Capture or identify cutoff-compatible sources for the highest-priority C-0010 ChatGPT adoption/reception gap rows before adding any quantitative reception prose.	sourcing	ChatGPT claim support + narrative credibility	Done in data/chatgpt_adoption_reception_sources_i0056.tsv, sources.tsv, manuscript/07-chatgpt-adoption-reception-sources.md, and champion/07-chatgpt-adoption-reception-sources.md; Reuters/UBS/Similarweb, Sam Altman, Meta Stack Overflow, Chalkbeat, and existing S-0079 are now source candidates, while C-0010 remains active until local/archive capture and triangulation.
I-0057	done	Create a Chapter 16 cue-density rule that decides when CH16Q row IDs stay inline, move to a note, or collapse into a paragraph-level source note after the I-0053 readability audit.	claim_audit	infrastructure prose polish + truth	Done in data/chapter16_cue_density_rule_i0057.tsv, manuscript/16-cue-density-rule.md, and champion/16-cue-density-rule.md; CH16Q IDs stay inline for exact quantities, forecasts, advisory estimates, operator-survey signals, NVIDIA/GTC blockers, and energy-per-token exclusions, while only source-only brackets may collapse freely.
I-0058	done	Build a Chapter 16 final-note prototype that tests whether CH16Q row IDs can move from inline brackets to sidenotes or endnotes without losing exact row-level claim permission.	design	infrastructure layout polish + truth	Done in data/chapter16_final_note_prototype_i0058.tsv, manuscript/16-final-note-prototype.md, and champion/16-final-note-prototype.md; only CH16Q-003 through CH16Q-006 are accepted as a note-move test case, while CH16Q-017 and CH16Q-018 must remain inline.
I-0059	done	Apply the Chapter 13 final caption microcopy to the model-rankings appendix draft and check whether A-0014, A-0013, glossary, microstyle footnote, and prohibited-use note read in the right order.	claim_audit	ranking layout polish + reader trust	Done in manuscript/13-model-rankings-appendix.md, champion/13-model-rankings-appendix.md, and data/leaderboard_appendix_integration_i0059.tsv; the appendix now reads orientation, condensed glossary, A-0014, narrow transition, A-0013, shared footnote, prohibited-use note, then price-quality handoff while preserving C-0046.
I-0060	rejected	Create a Chapter 13 appendix integration patch that inserts the I-0055 placement sequence into manuscript/13-model-rankings-appendix.md without duplicating earlier source-package caveats.	claim_audit	ranking appendix integration + reader trust	Rejected as superseded by promoted pass I-0059; manuscript/13-model-rankings-appendix.md already contains the I-0055 sequence without duplicating earlier source-package caveats, and data/chapter13_appendix_i0060_superseded_assessment.tsv records the coverage evidence.
I-0061	done	Capture local or archive snapshots for the I-0056 ChatGPT adoption and reception source candidates, prioritizing Reuters/UBS, Sam Altman one-million-user post, Stack Overflow policy, and NYC schools reporting before any C-0010 prose merge.	sourcing	ChatGPT source integrity + C-0010 resolution	Done in data/chatgpt_adoption_reception_snapshots_i0061.tsv, data/source_snapshot_protocol.tsv, sources.tsv, claims.tsv, manuscript/07-chatgpt-adoption-reception-snapshots.md, and champion/07-chatgpt-adoption-reception-snapshots.md; Reuters/archive, Stack Overflow, Chalkbeat, X app-shell, and a readable secondary Altman embed are captured while C-0010 remains active.
I-0062	done	Use the I-0057 cue-density rule to build a Chapter 16 note-prototype acceptance checklist before moving any CH16Q IDs out of manuscript/16-speed-to-power.md.	design	infrastructure layout truth + final-note readiness	Done in data/chapter16_note_acceptance_checklist_i0062.tsv, manuscript/16-note-acceptance-checklist.md, and champion/16-note-acceptance-checklist.md; only N16-1 for CH16Q-003 through CH16Q-006 may be tested first, while CH16Q-017 and CH16Q-018 must remain inline.
I-0063	done	Render or mock a single-page Chapter 16 note layout that applies the I-0058 N16-1 prototype to the LBNL/DOE paragraph while leaving CH16Q-017 and CH16Q-018 inline.	design	infrastructure PDF readiness + claim visibility	Done in assets/visual_system/chapter16-n16-1-note-layout-mock.svg, data/chapter16_note_layout_mock_i0063.tsv, data/chapter16_note_layout_acceptance_i0063.tsv, manuscript/16-note-layout-mock.md, and champion/16-note-layout-mock.md; mock passes I-0062 while live Chapter 16 prose remains unchanged.
I-0064	done	Create a Chapter 13 layout QA checklist for the integrated leaderboard appendix, checking A-0014-before-A-0013 order, caption length, footnote proximity, and prohibited-use visibility before any PDF pass.	design	ranking PDF readiness + reader trust	Done in data/chapter13_layout_qa_checklist_i0064.tsv, manuscript/13-layout-qa-checklist.md, and champion/13-layout-qa-checklist.md; checklist gates A-0014-before-A-0013 order, glossary placement, captions, footnote proximity, prohibited-use visibility, price-quality divider, source visibility, asset legibility, and duplicate-heading cleanup.
I-0065	pending	Build a source-normalization table for the I-0056 ChatGPT adoption/reception candidates, separating primary source, secondary source, archive handle, exact quote allowance, and triangulation status for each C-0010 subclaim.	data	ChatGPT claim readiness + source hygiene	I-0061 will capture or locate sources; a follow-on data pass should normalize what each source can actually support before Chapter 7 prose changes.
I-0066	pending	Create a Chapter 7 reception chronology table from the captured I-0061 Stack Overflow and Chalkbeat sources, adding at least one additional education or workplace response source before any broad public-reception prose.	data	ChatGPT reception chronology + source breadth	I-0061 captured two reception handles; the next data pass should distinguish named institutional examples from generalized public reaction.
I-0067	pending	Audit the I-0061 Reuters/archive and Sam Altman evidence chain for adoption-count wording, separating monthly active users, unique visitors, registered users, launch-date interval, and fastest-growing comparison before any Chapter 7 prose merge.	claim_audit	ChatGPT adoption truth + metric hygiene	I-0061 improved provenance but did not normalize metrics; the next audit should keep 100M MAU and one-million-user claims from collapsing into one false adoption narrative.
I-0068	pending	Create a production-layout gate for the Chapter 16 N16-1 mock: define exact PDF/render checks for page break, sidenote proximity, line length, note collision, and continued CH16Q-017/CH16Q-018 inline visibility before any live prose merge.	design	infrastructure PDF readiness + truth	I-0063 passed as an SVG mock only; a future pass should turn it into production render QA criteria before editing manuscript/16-speed-to-power.md.
I-0069	pending	Create a Chapter 13 leaderboard appendix pre-render fix plan that resolves the duplicate "Ranking Sources To Use" heading while preserving the I-0059 reading sequence and all I-0064 QA gates.	design	ranking appendix polish + PDF readiness	I-0064 identified a heading-flow issue but deliberately did not edit the appendix; the next Chapter 13 layout pass should plan or patch the heading before render.
